date,n_bets,staked,pnl,cum_pnl,strike_pct
2026-07-12,0,0.00,+0.00,+1754.66,
2026-07-13,4,137.65,-137.65,+1617.01,0
2026-07-14,1,64.52,-64.52,+1552.49,0
2026-07-15,0,0.00,+0.00,+1552.49,
2026-07-16,0,0.00,+0.00,+1552.49,
2026-07-17,3,60.44,+139.56,+1692.05,33
2026-07-18,28,912.04,+687.96,+2380.01,29
2026-07-19,0,0.00,+0.00,+2380.01,
2026-07-20,0,0.00,+0.00,+2380.01,
2026-07-21,0,0.00,+0.00,+2380.01,
2026-07-22,0,0.00,+0.00,+2380.01,
2026-07-23,0,0.00,+0.00,+2380.01,
2026-07-24,5,202.19,-202.19,+2177.83,0
2026-07-25,46,1646.85,-246.85,+1930.98,15
2026-07-26,7,194.45,-194.45,+1736.53,0
2026-07-27,1,74.07,-74.07,+1662.45,0
2026-07-28,0,0.00,+0.00,+1662.45,
2026-07-29,10,178.01,+21.99,+1684.44,10
2026-07-30,3,32.51,-32.51,+1651.93,0
2026-07-31,9,190.26,+609.74,+2261.67,44
2026-08-01,69,2126.00,+674.00,+2935.67,20
2026-08-02,8,285.29,+114.71,+3050.38,25
2026-08-03,4,46.93,+153.07,+3203.46,25
2026-08-04,3,30.55,-30.55,+3172.91,0
2026-08-05,3,41.44,+158.56,+3331.46,33
2026-08-06,11,387.13,+212.87,+3544.33,27
2026-08-07,8,239.89,+160.11,+3704.44,25
2026-08-08,31,1132.16,-532.16,+3172.28,10
2026-08-09,7,291.75,+108.25,+3280.53,29
2026-08-10,9,201.64,-201.64,+3078.89,0
2026-08-11,8,276.31,+123.69,+3202.57,25
2026-08-12,7,158.96,-158.96,+3043.61,0
2026-08-13,5,103.33,-103.33,+2940.28,0
2026-08-14,5,92.46,-92.46,+2847.82,0
2026-08-15,26,937.20,+62.80,+2910.62,19
2026-08-16,7,178.62,+221.38,+3131.99,29
2026-08-17,7,236.25,+163.75,+3295.75,29
2026-08-18,4,98.51,-98.51,+3197.23,0
2026-08-19,11,166.57,-166.57,+3030.66,0
2026-08-20,6,152.17,-152.17,+2878.49,0
2026-08-21,5,94.75,-94.75,+2783.74,0
2026-08-22,38,1200.69,-400.69,+2383.04,11
2026-08-23,5,86.69,+113.31,+2496.36,20
2026-08-24,0,0.00,+0.00,+2496.36,
2026-08-25,2,27.71,+172.29,+2668.65,50
2026-08-26,2,87.27,+112.73,+2781.38,50
2026-08-27,1,13.33,-13.33,+2768.04,0
2026-08-28,5,161.71,-161.71,+2606.34,0
2026-08-29,14,610.15,-10.15,+2596.19,21
2026-08-30,3,56.26,-56.26,+2539.93,0
2026-08-31,0,0.00,+0.00,+2539.93,
2026-09-01,4,72.69,-72.69,+2467.24,0
2026-09-02,11,183.78,-183.78,+2283.45,0
